sku,name,licenseType,licenseWeightKg,licenseFeeEuro,matchedOfficialSkuKey
10012b,Hemdchentragetaschen blau 2000 Stk.,LK,4.500,4.46,10012
10012g,Hemdchentragetaschen gelb 2000 Stk.,LK,4.500,4.46,10012
10012w,Hemdchentragetaschen weiss 2000 Stk.,LK,4.500,4.46,10012
10013,Hemdchentragetaschen weiss 1000 Stk.,LK,4.700,4.65,10013
10015w,Hemdchentragetaschen weiss 2000 Stk.,LK,5.500,5.45,10015
10016w,Hemdchentragetaschen weiss 2000 Stk.,LK,5.000,4.95,10016
10020b,Hemdchentragetaschen blau 2000 Stk.,LK,8.700,8.61,10020
10020g,Hemdchentragetaschen grün 2000 Stk.,LK,8.700,8.61,10020
10020or,Hemdchentragetaschen orange 2000 Stk.,LK,8.700,8.61,10020
10020w,Hemdchentragetaschen weiss 2000 Stk.,LK,8.700,8.61,10020
10025b,Hemdchentragetaschen blau 2000 Stk.,LK,6.100,6.04,10025
10025g,Hemdchentragetaschen gelb 2000 Stk.,LK,6.100,6.04,10025
10025w,Hemdchentragetaschen weiss 2000 Stk.,LK,6.100,6.04,10025
10027,"Hemdchentragetaschen ""OBST GEMÜSE"" 2000 Stk.",LK,7.000,6.93,10027
10030 B,Hemdchentragetaschen blau 2000 Stk.,LK,9.700,9.60,10030
10030or,Hemdchentragetaschen orange 2000 Stk.,LK,9.700,9.60,10030
10031g,Hemdchentragetaschen grün 2000 Stk.,LK,12.000,11.88,10031
10031or,Hemdchentragetaschen orange 2000 Stk.,LK,12.000,11.88,10031
10031w,Hemdchentragetaschen weiss 2000 Stk.,LK,12.000,11.88,10031
10033,"Hemdchentragetaschen ""Obst macht fit"" 1000 Stk.",LK,7.000,6.93,10033
10034,"Hemdchentragetaschen - ""Wochenmarkt"" 1000 Stk.",LK,5.500,5.45,10034
10035,"Hemdchentragetaschen - ""FISCH"" 1000 Stk.",LK,4.800,4.75,10035
10040w,Hemdchentragetaschen weiss 2000 Stk.,LK,7.400,7.33,10040
10050b,Jumbo Hemdchentragetaschen 1000 Stk.,LK,9.300,9.21,10050
10050w,Jumbo Hemdchentragetaschen 1000 Stk.,LK,9.300,9.21,10050
10055b,Jumbo Hemdchentragetaschen blau 1000 Stk.,LK,6.500,6.44,10055
10055g,Jumbo Hemdchentragetaschen grün 1000 Stk.,LK,6.500,6.44,10055
10055or,Jumbo Hemdchentragetaschen orange 1000 Stk.,LK,6.500,6.44,10055
10055w,Jumbo Hemdchentragetaschen weiss 1000 Stk.,LK,6.500,6.44,10055
10059,Tragetaschen 38x45+5cm 500 Stk. DKT,LK,5.000,4.95,10059
10060,MEHRWEG-Tragetaschen Groß 250 Stk.,LK,4.500,4.46,10060
10061,Tragetaschen 45x55+5cm 500 Stk. DKT,LK,8.000,7.92,10061
10062,Tragetaschen 50x60+5cm 250 Stk. DKT,LK,4.000,3.96,10062
10063,MEHRWEG-Tragetaschen Klein 400 Stk.,LK,4.600,4.55,10063
10064,MEHRWEG-Tragetaschen Jumbo 250 Stk.,LK,5.550,5.49,10064
10080,Schlaufentragetasche LDPCR weiss 250 st.,LK,7.750,7.67,10080
10120,HDPE-Flachbeutel 20 x 30 cm 2000 Stk.,LK,2.560,2.53,10120
10130,HDPE-Flachbeutel 25 x 35 cm 2000 Stk.,LK,3.080,3.05,10130
10135,HDPE-Flachbeutel 30 x 40 cm 2000 Stk.,LK,4.100,4.06,10135
10145,Fladenbrotbeutel 35 x 53 + 2 cm,LK,10.000,9.90,10145
10150,XL-Jumbo Hemdchentragetaschen 500 Stk.,LK,5.000,4.95,10150
10150b,XL-Jumbo Hemdchentragetaschen 500 Stk.,LK,5.000,4.95,10150
10156,XXL Jumbo Hemdchentragetaschen 500 Stk.,LK,7.500,7.43,10156
10156b,XXL Jumbo Hemdchentragetaschen 500 Stk.,LK,7.500,7.43,10156
10160,HDPE-Flachbeutel 40 x 60 cm 1000 Stk.,LK,6.000,5.94,10160
