sku,name,reason
10121,Abreißbeutel LDPE 20 x 30 +3 cm 1000 Stk.,nicht_in_excel
10131,Abreißbeutel LDPE 25 x 35 +3 cm 1000 Stk.,nicht_in_excel
10139,Fladenbrotbeutel 30 x 58 + 2 cm,nicht_in_excel
10140,Fladenbrotbeutel 31 x 50 + 2 cm,nicht_in_excel
10143,Fladenbrotbeutel 38 x 42 + 2 cm,nicht_in_excel
10171,"Müllsäcke 120 Liter, 250 Stk, Blau",nicht_in_excel
10172,"Müllsäcke 120 Liter, 150 Stk. Blau",nicht_in_excel
10173,"Müllsacke 140 Liter, 250 Stk. Blau",nicht_in_excel
10174,Müllsäcke 60-80 Liter weiß 360Stk.,nicht_in_excel
10175,"Müllsäcke 130 Liter, 200 Stk. schwarz",nicht_in_excel
10176,Müllsack 120 Lt Transparent 250 Stk.,nicht_in_excel
10177,"Müllsäcke 240 Liter, 100 Stk. Blau",nicht_in_excel
10180-200,Bodenbeutel PP 145 x 235 mm 200 Stück,nicht_in_excel
10180-500,Bodenbeutel PP 145 x 235 mm 500 Stück,nicht_in_excel
10181-200,Bodenbeutel PP 115 x 190 mm 200 Stück,nicht_in_excel
10181-500,Bodenbeutel PP 115 x 190 mm 500 Stück,nicht_in_excel
10182-200,Bodenbeutel PP 95 x 160 mm 200 Stück,nicht_in_excel
10182-500,Bodenbeutel PP 95 x 160 mm 500 Stück,nicht_in_excel
10183-200,Bodenbeutel PP 100 x 170 mm 200 Stück,nicht_in_excel
10183-500,Bodenbeutel PP 100 x 170 mm 500 Stück,nicht_in_excel
10184-200,Bodenbeutel PP 100 x 200 mm 200 Stück,nicht_in_excel
10184-500,Bodenbeutel PP 100 x 200 mm 500 Stück,nicht_in_excel
10185-200,Bodenbeutel PP 120 x 225 mm 200 Stück,nicht_in_excel
10185-500,Bodenbeutel PP 120 x 225 mm 500 Stück,nicht_in_excel
10186-200,Bodenbeutel PP 160 x 270 mm 200 Stück,nicht_in_excel
10186-500,Bodenbeutel PP 160 x 270 mm 500 Stück,nicht_in_excel
10187-200,Bodenbeutel PP 180 x 300 mm 200 Stück,nicht_in_excel
10187-500,Bodenbeutel PP 180 x 300 mm 500 Stück,nicht_in_excel
10202-200,Beutelverschlüsse 33x8 mm Gold 200 Stück,nicht_in_excel
10427,Bäckerfaltenbeutel 15x7x35cm - 1000 Stk.,nicht_in_excel
10534-100,PP Suppenschalen 750 ml - 100 Stk.,nicht_in_excel
10601,Eislöffel - 13cm - Bunt - 500 Stk.,nicht_in_excel
10601-100,Kaffeelöffel - Einweg - in weiss 100 Stk.,nicht_in_excel
10601-1000,Kaffeelöffel - Einweg - in weiss 1000 Stk.,nicht_in_excel
10602,Eislöffel - 13cm - Sand - 500 Stk.,nicht_in_excel
10603,Eislöffel - 13cm - grün - 500 Stk.,nicht_in_excel
10604,Eislöffel - 13cm - blau - 500 Stk.,nicht_in_excel
10605,Eislöffel - 13cm - Orange - 500 Stk.,nicht_in_excel
10777,Servietten 39 x 39 cm 3 Lagig 1200 Stk.,nicht_in_excel
10782,Duni Erfrischungstuch Lemon 1000 Stk.,nicht_in_excel
10785,"Pappbecher mit Neutraldruck ""Enjoy"" 2000 Stück 200 ml",nicht_in_excel
10786,"Pappbecher mit Neutraldruck ""Enjoy"" 1000 Stück 400 ml",nicht_in_excel
10787,"Pappbecher mit Neutraldruck "" 300 ml",nicht_in_excel
10788,"Pappbecher mit Neutraldruck ""Enjoy"" 1000 Stück 500 ml",nicht_in_excel
10975,Cilan Falthandtuchspender HT10,nicht_in_excel
10979,DUNI Servietten 33 x 33 cm 2 Lagig 3000 Stk.,nicht_in_excel
10991,Tork Lunchservietten 33 x 33 cm 4000 Stk.,nicht_in_excel
10996,Servietten 33 x 33 cm weiß ca. 3000 Stk.,nicht_in_excel
10997,Servietten griechisch 40 x 40 1/8 Falz 1000 Stk.,nicht_in_excel
11001,Papierhandtücher 1 Lagig Natur 5000 Stk.,nicht_in_excel
11002,5000 Stk. Papierhandtücher 1 Lagig Grün,nicht_in_excel
11006,Servietten italienisch 40 x 40 1/8 Falz 1000 Stk.,nicht_in_excel
11007,Papierhandtücher 2 Lagig 3200 Stk.,nicht_in_excel
11326,Deckel für Feinkostbecher Rechteckig 1000 Stk.,nicht_in_excel
11520A,Ausschankbecher 200ml - klar,nicht_in_excel
11529,"Jumbo-Trinkhalme, Mehrweg, schwarz 5000 Stk.",nicht_in_excel
11534,"Jumbo-Trinkhalme, Mehrweg, Bunt 5000 Stk.",nicht_in_excel
11535-100,PP Suppenschalen 500 ml - 100 Stk.,nicht_in_excel
11541,Mehrweggabel - ECO Transparent 2000 Stk.,nicht_in_excel
11541-100,Mehrweggabel - ECO Transparent 100 Stk.,nicht_in_excel
11541-1000,Mehrweggabel - ECO Transparent 1000 Stk.,nicht_in_excel
11542,Mehrweglöffel - ECO Transparent 2000 Stk.,nicht_in_excel
11542-100,Mehrweglöffel - ECO Transparent 100 Stk.,nicht_in_excel
11542-1000,Mehrweglöffel - ECO Transparent 1000 Stk.,nicht_in_excel
11546,"Rührstäbchen 11,5cm weiß 2000 Stück",nicht_in_excel
11551,Automatenbecher 180ml - braun,nicht_in_excel
11567,Holzrührstäbchen 14cm 1000 Stück,nicht_in_excel
11568,Holzrührstäbchen 19cm 1000 Stück,nicht_in_excel
11569,Rührstäbchen 14cm weiß 1000 Stück,nicht_in_excel
11580-1,PP Mehrweg-Menüteller ungeteilt 1000 Stk.,nicht_in_excel
11581-1,PP Mehrweg-Menüteller 2 geteilt 1000 Stk.,nicht_in_excel
11582-1,PP Mehrweg-Menüteller 3 geteilt 1000 Stk.,nicht_in_excel
11590,Mehrwegmesser - Superior Transparent 2000 Stk.,nicht_in_excel
11590-100,Mehrwegmesser - Superior Transparent 100 Stk.,nicht_in_excel
11590-1000,Mehrwegmesser - Superior Transparent 1000 Stk.,nicht_in_excel
11591,Mehrwegmesser - Superior weiß 2000 Stk.,nicht_in_excel
11591-1000,Mehrwegmesser - Superior weiß 1000 Stk.,nicht_in_excel
11591-50,Mehrwegmesser - Superior weiß 50 Stk.,nicht_in_excel
11592,Mehrweggabel - Superior Transparent 2000 Stk.,nicht_in_excel
11592-100,Mehrweggabel - Superior Transparent 100 Stk.,nicht_in_excel
11592-1000,Mehrweggabel - Superior Transparent 1000 Stk.,nicht_in_excel
11593,Mehrweggabel - Superior schwarz 2000 Stk.,nicht_in_excel
11593-100,Mehrweggabel - Superior schwarz 100 Stk.,nicht_in_excel
11593-1000,Mehrweggabel - Superior Schwarz 1000 Stk.,nicht_in_excel
11595,Mehrweglöffel - Superior Weiß 2000 Stk.,nicht_in_excel
11595 S,Mehrweglöffel - Superior schwarz 2000 Stk.,nicht_in_excel
